precinct,ballots_cast,Lungren,Durston,Tuma,Padilla,times_drawn,audit_Lungren,audit_Durston,audit_Tuma,audit_Padilla,e_Durston,e_Tuma,e_Padilla,taint,KM_factor,net_KM_factor
06005AV130,424,231,149,13,12,1,230,150,13,12,0.000115,0.000007,0.000007,0.003953,0.954922706,0.954922706
06005CP01,447,244,152,15,15,2,244,152,15,15,0.000000,0.000000,0.000000,0.000000,0.951148308,0.904683104
06005CP16,319,159,115,15,12,1,159,115,15,12,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
06009350,919,440,392,30,16,2,442,393,30,16,-0.000057,-0.000013,-0.000014,-0.000244,0.950916616,0.90424241
06009430,990,493,377,34,30,1,493,377,34,30,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
06009520,990,528,332,34,33,2,528,332,36,33,0.000000,0.000013,0.000000,0.000199,0.951337301,0.90504266
06009535,1119,597,393,35,39,1,597,393,35,39,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606721310,440,152,197,4,35,1,152,197,4,35,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606722716,644,254,294,9,25,1,254,294,9,25,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606726108,685,290,284,14,36,2,290,284,14,36,0.000000,0.000000,0.000000,0.000000,0.951148308,0.904683104
0606726420,382,158,172,14,15,1,158,182,14,15,0.000573,0.000000,0.000000,0.027174,0.977716696,0.977716696
0606728102,685,260,316,23,27,1,260,316,23,27,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606728312,710,290,323,22,25,1,290,323,22,25,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606731404,628,294,228,13,36,1,294,228,13,36,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606733224,684,387,220,10,9,1,387,220,10,11,0.000000,0.000000,0.000014,0.000289,0.951423044,0.951423044
0606734106,623,238,257,25,32,1,238,257,25,32,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606736740,670,289,266,20,23,1,289,266,20,23,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606755800,688,274,301,12,34,1,274,301,12,34,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606757750,381,202,118,11,24,1,202,118,11,24,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606758200,706,402,210,10,30,1,403,211,10,30,0.000000,-0.000007,-0.000007,0.000000,0.951148308,0.951148308
060678022102,467,216,182,13,15,1,216,182,13,15,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678023118,579,247,247,14,34,1,247,247,14,34,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678023126,442,215,163,16,21,1,215,164,16,21,0.000057,0.000000,0.000000,0.002024,0.953077615,0.953077615
060678023624,436,168,180,21,27,1,168,180,21,27,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678024324,417,201,156,12,14,1,201,156,12,14,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678025810,435,164,224,9,18,1,164,224,9,18,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678029102,736,323,330,19,26,1,324,334,19,26,0.000172,-0.000007,-0.000007,0.004115,0.955078673,0.955078673
060678031132,724,359,270,14,22,1,359,270,14,22,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678031204,538,297,166,13,23,1,297,166,13,23,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678052200,527,217,247,15,21,1,217,247,15,21,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678053126,444,204,185,13,16,1,204,185,13,16,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678057156,716,364,285,8,17,1,364,285,8,17,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678057206,591,279,246,13,14,1,279,246,13,14,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678057620,544,291,195,12,13,1,293,196,12,13,-0.000057,-0.000013,-0.000014,-0.000368,0.950798279,0.950798279
060678061100,1020,570,395,14,12,1,570,395,14,12,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678061130,863,474,330,16,6,1,474,330,16,6,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
060678089318,537,261,191,10,40,1,261,191,10,40,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606782030,592,162,309,5,50,1,162,309,5,50,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606787344,338,186,86,7,15,1,186,86,7,15,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0606789318,606,313,174,17,43,1,313,174,17,43,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
0609549700A,634,336,229,26,21,2,336,229,26,21,0.000000,0.000000,0.000000,0.000000,0.951148308,0.904683104
0609594939,209,105,80,4,6,1,105,80,4,6,0.000000,0.000000,0.000000,0.000000,0.951148308,0.951148308
